chunk_id,document_id,source_image_path,status,caption,caption_page_num,error
33868,19,data/images/19/page9_img1.png,captioned,Fig. 10. Stress–strain curves at different mesh densities.,9,
34699,20,data/images/20/page10_img1.png,captioned,"Fig. 11 PD visualization of RFC samples for different tests (see Table 1): a uniaxial compression and b splitting tensile tests. SCC and rock are identiﬁed in red and blue, respectively",10,
34700,20,data/images/20/page11_img1.png,captioned,Fig. 12 Wall-clock time for PD samples of different sizes,11,
34701,20,data/images/20/page11_img2.png,captioned,"Fig. 13 3D force density chains of sample C-1200: a whole RFC, b SCC phase only, and c rock boulders",11,
34702,20,data/images/20/page12_img1.png,captioned,Fig. 14 a Average contact stress ratio and b maximum contact stress ratio plotted against RFC sample size (L). The error bars show the standard deviation of samples with the same size,12,
34703,20,data/images/20/page12_img2.png,captioned,Fig. 15 3D PD visualization of damage (u) in an RFC sample. The rock boulder outlines are identiﬁed in green,12,
34704,20,data/images/20/page13_img1.png,captioned,"Fig. 16 Average and envelopes of maximum and minimum damage versus uniaxial strain for RFC samples with different dimensions: a C-300, b C-450, c C-600, d P-450, e C-900, f C-1200 (see Table 1)",13,
34705,20,data/images/20/page14_img1.png,captioned,Fig. 17 UCS and Young’s modulus (E) of RFC samples compared to those of concrete (UCSConcrete and EConcrete) versus rock ratio,14,
34706,20,data/images/20/page14_img2.png,captioned,Fig. 18 Calculations of fractal dimension (D) for an RFC sample based on the box-counting method. D ¼ 1:81 is calculated according to the slope of the line,14,
34707,20,data/images/20/page14_img3.png,captioned,Fig. 19 Fractal dimension versus rock ratio for all RFC samples,14,
34708,20,data/images/20/page14_img4.png,captioned,Fig. 20 UCS and Young’s modulus (E) of RFC samples relative to those of concrete (UCSConcrete) and (EConcrete) versus the fractal dimension (D),14,
34709,20,data/images/20/page15_img1.png,captioned,Fig. 21 Bilinear regression of normalized UCS and E of RFC samples relative to those of concrete (UCSConcrete) and (EConcrete) versus rock ratio and the fractal dimension D,15,
34710,20,data/images/20/page16_img1.png,captioned,"Fig. 22 a UCS and b Young’s modulus (E) for RFC samples, along with their normalized value relative to the corresponding values for concrete (UCSConcrete) and (EConcrete)",16,
34711,20,data/images/20/page16_img2.png,captioned,Fig. 23 Fractal dimension (D) versus sample sizes for all average of RFC samples,16,
34712,20,data/images/20/page17_img1.png,captioned,Fig. 24 PD visualization of conﬁning stress test layout and 3D damage (u) plot for an RFC sample. The outlines of rock boulders and platens are identiﬁed with green lines,17,
34713,20,data/images/20/page17_img2.png,captioned,"Fig. 25 a normalized strength (r1/UCS), b normalized modulus (ETriaxial/E), and c sample total damage, versus normalized conﬁning stress (r3/ UCS) for RFC samples A and B, and SCC sample",17,
34714,20,data/images/20/page18_img1.png,captioned,"Fig. 26 3D plots of bond damage immediately before failure in: a RFC sample A, and b RFC sample B, after applying various hydrostatic normalized conﬁning stress (r3=UCS). The outlines of rock boulders are identiﬁed by green lines",18,
34715,20,data/images/20/page20_img1.png,captioned,Fig. 27 Comparison of normalized strength (r1/UCS) of SCC between the current PD model and other studies (Table 5),20,
34716,20,data/images/20/page21_img1.png,captioned,"Fig. 28 Mohr circles and Mohr–Coulomb failure envelope of a SCC, b RFC sample A and c RFC sample B, simulated by the current PD model",21,
34717,20,data/images/20/page21_img2.png,captioned,Fig. 29 Schematic illustration of round bonds connecting two neigh- boring material points (x and x0) in a PD discretization,21,
49672,20,data/images/20/page22_img1.png,captioned,"Fig. 30 3D visualization of pre-existing defects (u) in RFC samples with varying local bond defect probability k ð Þ: a 0, b 5%, c 10%, d 20%, e 30% and f 50%. The outlines of rock boulders and platens are identiﬁed by green lines",22,
50048,20,data/images/20/page22_img2.png,captioned,"Fig. 31 Sample initial damage versus local bond defect probability (k) for different RFC sample sizes (C-300, C-450, P-450, C-600 and C-900)",22,
50422,20,data/images/20/page23_img1.png,captioned,"Fig. 32 Normalized values of (a) UCS, and (b) Young’s modulus (E) relative to those of RFC sample without pre-existing defect (UCS",23,
